	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
99	A0A199W750	A0A6P5EBG0	A0A6P5F321																				
103	A0A2C9UFS4	A0A2C9UFN4																					
104	A0A1S8ACU1	Q0ZA67	A0A067F6D9																				
106	P24102	A0A384L8X8	Q0WLG9																				
108	A0A7N2KLM3	A0A7N2KLM6																					
109	A0A2P5CVS5	A0A2P5BAI3																					
111	A0A6A6MQF2	Q0ZA88																					
113	A0A2P5CVR4	A0A2P5BAI1																					
114	A0A5B6W993	A0A0B0MJL8	A0A1U8IFF9	A0A5D2Q323	A0A5D2YUC8	A0A5J5VD33	A0A5D2G5V4	A0A0D2V9G8	A0A1U8J024	A0A7J9EXZ0	A0A5D2C947	A0A7J9AI11	A0A7J9JYH9	A0A7J9MDE3	A0A5D2YUL3								
115	A0A836DH37	A0A5N5P1B1																					
117	Q43050	W8PWD6	B9GYJ9	Q08IT4																			
119	A0A2K2BQQ3	Q43100																					
124	A0A4D6M812	A0A1S3TN06	A0A0S3RXM6	A0A4D6M975																			
127	A0A5B6UNN7	A0A7J9LDL1	A0A5D2JGX8	A0A0D2Q9Z1	A0A7J9E4H8	A0A5J5Q3K0	A0A5D2B9S0	A0A7J8UK58	A0A5D2TJG7	A0A1U8I5I0	A0A5D2P2M2	A0A1U8I189	A0A5J5UET7	A0A5D2FBH7	A0A6P4MIR6	A0A7J8ZNR8	A0A6P5YS62	A0A6J1A638	A0A6P6AMJ8	A0A0D2RWA4	A0A5D2XXN3	A0A0B0NTQ7	
129	M1KDW2	A0A540KKE0	A0A5N5HZ48																				
130	A0A816J9Y5	A0A6D2HHI9	M4CYC3	A0A3N6TCR0	A0A817BEM0	A0A1J3F6R7	Q53YQ4	A0A178UIM3	A0A3P6CQE8	A0A1J3E9E3	A0A6J0K4A0	V4LAD3	A0A1J3KAT9	P80679									
133	A0A2P5APW5	A0A2P5B6T7	A0A803QP32																				
136	A0A835HBN1	A0A835LLZ2																					
137	Q42578	A0A5S9Y1Z5	A0A654FYZ4	K7ZWQ2	K7ZW28	R0FGH3	D7LZT4																
141	A0A6J1I1V1	A0A6J1ESU1																					
142	A0A6A6KPX3	A0A1L1XVZ2	A0A2C9VEW5																				
145	A0A6J5VFD5	A0A6J5XYB3	M5W9D5	A0A5E4FAM1	A0A6P5TQE6																		
147	A0A4S8JGD3	A0A804JUK9																					
153	U5FKA6	Q08IT3	Q43048																				
154	A0A1R3HF19	A0A1R3GY14																					
156	A0A484K7H5	A0A484LCK5																					
163	A0A2I4GYD2	A0A6A1WAV5																					
166	A0A7N2M4E6	A0A2N9GEL3																					
167	A0A2G5ECM0	A0A7J6VSC1																					
169	A0A2N9IR14	A0A2N9IP12																					
173	A0A2G3B9Z8	A0A2G2YGU4	A0A1U8FBM1																				
174	M5W3Y0	A0A5E4F5Z5	A0A6J5XFK0																				
175	A0A835HFG1	A0A835LWD3																					
176	A0A498K6J3	A0A5N5GMV4																					
182	A0A1H9CXL2	A0A1I6F7L6	A0A1H9W9M8	A0A1H9JU42	A0A1G8QY37	A0A1B2HZS1	A0A1H0WBL2	A0A1W2C2B9															
184	A0A1V4EDH1	A0A8H9GVK2	A0A544YED9	A0A544Z467																			
186	A0A349SVV4	A0A356III6	A0A2D9TR85	A0A3L8ASR9	A0A3L8BEC4																		
189	E9LVH8	E0Z5H1	Q6A0I4	J7FDJ1	Q47RJ6																		
195	A0A4R4MBW9	A0A7W7IIG7																					
207	E1A4B0	E1A4B1																					
208	A0A0C9UB72	A0A0C9UBJ3																					
212	S6CMS0	S6CMV2	S6CNM3																				
221	A0A023H3Q2	A0A023H2S0																					
222	A0A023H2U0	A0A023H433																					
230	A0A0N0HGY7	A0A0N0HL48																					
232	A0A6B3HE49	A0A0N0HMH3	A0A0N0HMH3	A0A0N1K810	A0A0N1K810																		
